run_date,run_ts,dataset,ano,trimestre,url,final_url,output_path,status,http_status,size_mb,sha256_16,message
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2023,1,https://dadosabertos.pgfn.gov.br/2023_trimestre_01/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2023_trimestre_01/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2023_tri=1_20260106.zip,OK,200,606.51,522077d34833c9c8,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2023,2,https://dadosabertos.pgfn.gov.br/2023_trimestre_02/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2023_trimestre_02/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2023_tri=2_20260106.zip,OK,200,680.54,7451d175b0c55fbb,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2023,3,https://dadosabertos.pgfn.gov.br/2023_trimestre_03/Dados_abertos_Nao_Previdenciario.zip,,,FAILED_REQUEST,,,,Erro de rede/timeout: ChunkedEncodingError
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2023,4,https://dadosabertos.pgfn.gov.br/2023_trimestre_04/Dados_abertos_Nao_Previdenciario.zip,,,FAILED_REQUEST,,,,Erro de rede/timeout: ConnectionError
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2024,1,https://dadosabertos.pgfn.gov.br/2024_trimestre_01/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2024_trimestre_01/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2024_tri=1_20260106.zip,OK,200,768.35,a76331d161f84983,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2024,2,https://dadosabertos.pgfn.gov.br/2024_trimestre_02/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2024_trimestre_02/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2024_tri=2_20260106.zip,OK,200,792.31,2dd6c2fa1df092d5,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2024,3,https://dadosabertos.pgfn.gov.br/2024_trimestre_03/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2024_trimestre_03/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2024_tri=3_20260106.zip,OK,200,839.93,4cd1fa1221fe4780,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2024,4,https://dadosabertos.pgfn.gov.br/2024_trimestre_04/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2024_trimestre_04/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2024_tri=4_20260106.zip,OK,200,917.53,aa66e70570b58da2,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2025,1,https://dadosabertos.pgfn.gov.br/2025_trimestre_01/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2025_trimestre_01/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2025_tri=1_20260106.zip,OK,200,985.44,346d851c598ef9b9,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2025,2,https://dadosabertos.pgfn.gov.br/2025_trimestre_02/Dados_abertos_Nao_Previdenciario.zip,,,FAILED_REQUEST,,,,Erro de rede/timeout: ConnectionError
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2025,3,https://dadosabertos.pgfn.gov.br/2025_trimestre_03/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2025_trimestre_03/Dados_abertos_Nao_Previdenciario.zip,C:\Users\glauc\Dropbox\PC\Documents\pasta_desafio\data\raw\pgfn\pgfn_nao_previdenciario_ano=2025_tri=3_20260106.zip,OK,200,1048.15,02485e0071326dfa,Download concluído.
20260106,2026-01-06 20:11:53,pgfn_nao_previdenciario,2025,4,https://dadosabertos.pgfn.gov.br/2025_trimestre_04/Dados_abertos_Nao_Previdenciario.zip,https://dadosabertos.pgfn.gov.br/2025_trimestre_04/Dados_abertos_Nao_Previdenciario.zip,,FAILED_HTTP,404,,,HTTP diferente de 200 (provável período indisponível).
